Issuer,Reference,Type,Link,Origin,Source,CoE MS,Year,Comments,Update,fundamental rights,human agency,human rights,non discrimination,non maleficence,rule of law,sustainable development,well being,accountability,autonomy,beneficence,democracy,dignity,diversity,explainability,fairness,freedom,inclusive,justice,liability,literacy,oversight,privacy,responsibility,robustness,safe,solidarity,sustainability,transparency,trust,trustworthy
Deputy Prime Minister of the Slovak Republic for Investment and Informatics,Strategic Priority the Open Data,Policy paper,http://www.informatizacia.sk/strategicke-priority-erf/24190c,National Authorities,Slovakia,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering and Physical Research Council (EPSRC) (United Kingdom),Principles of Robotics,Principles/Guidelines/Charters,https://epsrc.ukri.org/research/ourportfolio/themes/engineering/activities/principlesofrobotics/,National Authorities,United Kingdom,Yes,2010,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Ethics Committee of the Federal Ministry of Transport and Digital Infrastructure (BMVI) - Ethkikkommission des Bundesministeriums für Verkehr und digitale Infrastruktur (Germany),Automated and connected automated driving - Automatisiertes und Vernetztes Fahren,Report/Study,https://www.bmvi.de/SharedDocs/DE/Publikationen/DG/bericht-der-ethik-kommission.pdf?__blob=publicationFile,National Authorities,Germany,Yes,2017,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Cartel Office - Bundeskartellamt (Germany),Big Data and Competition - Big Data und Wettbewerb,Report/Study,http://www.bundeskartellamt.de/SharedDocs/Publikation/DE/Schriftenreihe_Digitales/Schriftenreihe_Digitales_1.pdf?__blob=publicationFile&v=3,National Authorities,Germany,Yes,2017,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Government (Germany),Key points of the Federal Government for a strategy artificial intelligence,Policy paper,https://www.bmwi.de/Redaktion/DE/Downloads/E/eckpunktepapier-ki.pdf?__blob=publicationFile&v=10,National Authorities,Germany,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Ministry of Education and Research (Germany) - ABIDA,Assessing Big Data,Report/Study,http://www.abida.de./de,National Authorities,Germany,Yes,2015,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Government (Germany),National Strategy for Artificial Intelligence - Nationale Strategie für Künstliche Intelligenz,Policy paper,https://www.ki-strategie-deutschland.de/home.html?file=files/downloads/Nationale_KI-Strategie_engl.pdf,National Authorities,Germany,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government Digital Service and Office for Artificial Intelligence (United Kingdom),A Guide to using AI in the Public Sector and a Selection of Use-cases,Policy paper,https://www.gov.uk/government/collections/a-guide-to-using-artificial-intelligence-in-the-public-sector,National Authorities,United Kingdom,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government of the Republic of Lithuania,The National Reform Programme for 2018,Policy paper,https://ec.europa.eu/info/sites/info/files/2018-european-semester-national-reform-programme-lithuania-en.pdf,National Authorities,Lithuania,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government offices - Regeringskansliet (Sweden),National orientation for artificial intelligence - Nationell inriktning för artificiell intelligens,Policy paper,https://www.regeringen.se/informationsmaterial/2018/05/nationell-inriktning-for-artificiell-intelligens/,National Authorities,Sweden,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government Offices (Sweden),National Approach to Artificial Intelligence,Policy paper,https://www.government.se/491fa7/contentassets/fe2ba005fb49433587574c513a837fac/national-approach-to-artificial-intelligence.pdf,National Authorities,Sweden,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government Statistics Authority (United Kingdom),Draft Research Code of Practice and Draft Accreditation Criteria,Principles/Guidelines/Charters,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/709514/2018-05-16_Research_Code_of_Practice_and_Accreditation_Criteria.pdf,National Authorities,United Kingdom,Yes,2018,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Government Statistics Authority (United Kingdom),Draft Statistics Statement of Principles and Draft Code of Practice on changes to data systems,Principles/Guidelines/Charters,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/709515/2018-05-16_Statistics_Statement-of-Principles_and_CoP_Data_Systems.pdf,National Authorities,United Kingdom,Yes,2018,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
HM Government (United Kingdom),Industrial Strategy: Building a Britain fit for the future,Policy paper,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/664563/industrial-strategy-white-paper-web-ready-version.pdf,National Authorities,United Kingdom,Yes,2017,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"House of Lords, Selected Committee on Artificial Intelligence (United Kingdom)","AI in the UK: ready, willing and able?",Policy paper,https://publications.parliament.uk/pa/ld201719/ldselect/ldai/100/100.pdf,National Authorities,United Kingdom,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Independent Advisory Group (IAG) on the Use of Biometric Data (Scotland),Use of Biometric Data and Technologies,Report/Study,https://www2.gov.scot/About/Review/biometric-data,National Authorities,United Kingdom,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Commissioner’s Office (United Kingdom),Guidance on political campaigning,Policy paper,https://ico.org.uk/media/for-organisations/documents/1589/promotion_of_a_political_party.pdf,National Authorities,United Kingdom,Yes,2017,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Commissioner’s Office (United Kingdom),"Big Data, Artificial Intelligence, Machine Learning and Data Protection",Report/Study,https://ico.org.uk/media/for-organisations/documents/2013559/big-data-ai-ml-and-data-protection.pdf,National Authorities,United Kingdom,Yes,2017,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Commissioner’s Office (United Kingdom),Big Data and the insurance sector,Report/Study,https://ico.org.uk/about-the-ico/news-and-events/news-and-blogs/2017/03/blog-big-data-and-the-insurance-sector/,National Authorities,United Kingdom,Yes,2017,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspector General for the Protection of Personal Data (Poland),Information on processing and access to geolocation data,Report/Study,http://www.giodo.gov.pl/pl/1520297/10068,National Authorities,Poland,Yes,2017,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korean Ministry of Science, ICT and Future Planning (South Korea)",Mid- to Long-Term Master Plan in Preparation for the Intelligent Information Society,Policy paper,https://english.msit.go.kr/cms/english/pl/policies2/__icsFiles/afieldfile/2017/07/20/Master%20Plan%20for%20the%20intelligent%20information%20society.pdf,National Authorities,South Korea,No,2017,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Digitisation (Poland),Assumptions for the AI strategy in Poland Action plan of the Ministry of Digitization - Założenia do strategii AI w Polsce Plan działań Ministerstwa Cyfryzacji,Policy paper,https://www.gov.pl/web/cyfryzacja/sztuczna-inteligencja-polska-2118,National Authorities,Poland,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Digitisation (Poland),AI Development Policy in Poland,Policy paper,"https://www.gov.pl/attachment/a8ea194c-d0ce-404e-a9ca-e007e9fbc93e",National Authorities,Poland,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Economic Affairs and Climate Policy (Netherlands),Dutch digitalisation strategy,Policy paper,https://www.government.nl/binaries/government/documents/reports/2018/06/01/dutch-digitalisation-strategy/Dutch+Digitalisation+strategy+def.pdf,National Authorities,Netherlands,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Economic Affairs and Climate Policy (Netherlands),Strategic Action Plan for Artificial Intelligence,Policy paper,https://www.government.nl/binaries/government/documents/reports/2019/10/09/strategic-action-plan-for-artificial-%20intelligence/RapportSAPAI_Summary.pdf,National Authorities,Netherlands,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Economic Affairs and Employment (Finland),"Artificial Intelligence Work: Four perspectives on economics, employment, knowledge and ethics - Tekoälyajan työ: neljä näkökulmaa talouteen, työllisyyteen, osaamiseen ja etiikkaan",Policy paper,https://tem.fi/julkaisu?pubid=URN:ISBN:978-952-327-311-5,National Authorities,Finland,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Economic Affairs and Employment (Finland),Finland’s Age of Artificial Intelligence,Policy paper,http://julkaisut.valtioneuvosto.fi/bitstream/handle/10024/160391/TEMrap_47_2017_verkkojulkaisu.pdf,National Authorities,Finland,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Economic Affairs and Employment (Finland),"Work in the Age of Artificial Intelligence. Four Perspectives on the Economy, Employment, Skills and Ethics",Policy paper,https://julkaisut.valtioneuvosto.fi/handle/10024/160980,National Authorities,Finland,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Economy and Innovation (Lithuania),Artificial Intelligence Strategy,Policy paper,http://kurklt.lt/wp-content/uploads/2018/09/StrategyIndesignpdf.pdf,National Authorities,Lithuania,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Enterprise and Innovation (Sweden),"Governmental strategy, For a sustainable digitized Sweden-a digitization strategy",Policy paper,http://www.regeringen.se/49adea/contentassets/5429e024be6847fc907b786ab954228f/digitaliseringsstrategin_slutlig_170518-2.pdf,National Authorities,Sweden,Yes,2017,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Justice (Sweden),How to strengthen personal integrity,Report/Study,http://www.regeringen.se/4ac6ee/contentassets/56e701d354824bcb9826ea0839ab28f3/sa-starker-vi-den-personliga-integriteten-sou-201752,National Authorities,Sweden,Yes,2017,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mission Parlementaire sur l'IA (Cédric Villani),Giving Meaning to Artificial Intelligence - Donner un sens a l'intelligence Artificielle,Report/Study,https://www.aiforhumanity.fr/pdfs/9782111457089_Rapport_Villani_accessible.pdf,National Authorities,France,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monetary Authority of Singapore,"Principles to Promote Fairness, Ethics, Accountability and Transparency (FEAT) in the Use of Artificial Intelligence and Data Analytics in Singapore’sFinancial Sector",Principles/Guidelines/Charters,http://www.mas.gov.sg/~/media/MAS/News and Publications/Monographs and Information Papers/FEAT Principles Final.pdf,National Authorities,Singapore,No,2018,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
National Institution for Transforming India (NITI Aayog),Discussion Paper: National Strategy for Artificial National Institution for Transforming India (NITI Aayog) India Intelligence,Policy paper,https://niti.gov.in/writereaddata/files/document_publication/NationalStrategy-for-AI-Discussion-Paper.pdf,National Authorities,India,No,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Research Council Canada,Advisory Statement on Human Ethics in Artificial Intelligence and Big Data Research,Principles/Guidelines/Charters,https://nrc.canada.ca/en/corporate/values-ethics/research-involving-human-participants/advisory-statement-human-ethics-artificial-intelligence-big-data-research-2017,National Authorities,Canada,No,2017,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
National Science and Technology Council (US),Preparing the future of AI,Policy paper,https://obamawhitehouse.archives.gov/sites/default/files/whitehouse_files/microsites/ostp/NSTC/preparing_for_the_future_of_ai.pdf,National Authorities,United States,No,2016,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"National Science and Technology Council, Networking and Information Technology Research and Development Subcommittee (US)",The National Artificial Intelligence Research and Development Strategic Plan,Policy paper,https://www.nitrd.gov/pubs/national_ai_rd_strategic_plan.pdf,National Authorities,United States,No,2016,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand Human Rights Commission,"Privacy, Data and Technology: Human Rights Challenges in the Digital Age",Policy paper,https://www.hrc.co.nz/files/5715/2575/3415/Privacy_Data_Technology_-_Human_Rights_Challenges_in_the_Digital_Age_FINAL.pdf,National Authorities,New Zealand,No,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Government CIO Office, Ministry of Economic Affairs and Communications (Estonia)",AI National Strategy,Policy paper,https://f98cc689-5814-47ec-86b3-db505a7c3978.filesusr.com/ugd/7df26f_27a618cb80a648c38be427194affa2f3.pdf,National Authorities,Estonia,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office of the Vice-President of the Government for Investment and Informatisation,Strategic Priority the Data Management,Policy paper,http://www.informatizacia.sk/ext_dok-uppvii_sp_manazment_udajov_vfinal/24196c,National Authorities,Slovakia,Yes,2017,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,AI for Humanity,Policy paper,https://www.aiforhumanity.fr/en/,National Authorities,France,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office parlementaire d’évaluation des choix scientifiques et technologiques,"For a mastered, useful and demystified artificial intelligence - Pour une intelligence artificielle maîtrisée, utile et démystifiée",Report/Study,http://www.senat.fr/rap/r16-464-1/r16-464-11.pdf,National Authorities,France,Yes,2017,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Economic Affairs and Employment (Finland),Artificial intelligence programme,Policy paper,https://tem.fi/en/artificial-intelligence-programme,National Authorities,Finland,Yes,2017,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Economic Affairs and Employment (Finland),Leading the way into the age of artiﬁcial intelligence,Policy paper,http://julkaisut.valtioneuvosto.fi/bitstream/handle/10024/161688/41_19_Leading%20the%20way%20into%20the%20age%20of%20artificial%20intelligence.pdf,National Authorities,Finland,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parliament (Finland),Finnish One Hundred - A New Opportunity 2018-2037 - Suomen sata uutta mahdollisuutta 2018–2037,Policy paper,https://www.eduskunta.fi/FI/tietoaeduskunnasta/julkaisut/Documents/tuvj_1%2B2018.pdf,National Authorities,Finland,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Finance (Finland),Aurora AI,Policy paper,https://vm.fi/en/auroraai-en,National Authorities,Finland,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parliament (Germany),Action Plan of the Federal Government on the Report of the Ethics Committee Automated and Networked Driving (Ethics Rules for Driving Computers) - Maßnahmenplan der Bundesregierung zum Bericht der Ethik-Kommission Automatisiertes und Vernetztes Fahren (Ethik-Regeln für Fahrcomputer),Parliamentary proceeding,http://dipbt.bundestag.de/doc/btd/18/135/1813500.pdf,National Authorities,Germany,Yes,2017,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parliament (Germany),"Study Commission ""Artificial Intelligence Social Responsibility and Economic, Social and Ecological Potential""",Report/Study,https://www.bundestag.de/en/committees/bodies/study/artificial_intelligence,National Authorities,Germany,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parliament Science and Technology Committee (United Kingdom),Algorithms in Decision Making,Report/Study,https://publications.parliament.uk/pa/cm201719/cmselect/cmsctech/351/351.pdf,National Authorities,United Kingdom,No,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta Digital Innovation Authority,AI Certification Programme,Policy paper,https://mdia.gov.mt/consultation/,National Authorities,Malta,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Parliamentary Secretariat for Financial Services, DIgital Economy and Innovation (Malta)",Towards Trustworthy AI: Malta Ethical AI Framework for public consultation,Principles/Guidelines/Charters,https://malta.ai/wp-content/uploads/2019/08/Malta_Towards_Ethical_and_Trustworthy_AI.pdf,National Authorities,Malta,Yes,2019,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01"
"Parliamentary Secretariat for Financial Services, DIgital Economy and Innovation (Malta)","Malta, the ultimate AI Launchpad: A strategy and vision for AI in Malta 2030",Policy paper,https://malta.ai/wp-content/uploads/2019/11/Malta_The_Ultimate_AI_Launchpad_vFinal.pdff,National Authorities,Malta,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Research Foundation (Singapore),AI Singapore,Policy paper,https://www.aisingapore.org/,National Authorities,Singapore,No,2017,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Data Commission Singapore,A Proposed Model Artificial Intelligence Governance Framework,Policy paper,https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Resource-for-Organisation/AI/A-Proposed-Model-AI-Governance-Framework-January-2019.pdf,National Authorities,Singapore,No,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Data Commission Singapore,Discussion Paper on Artificial Intelligence (AI) and Personal Data—Fostering Responsible Development and Adoption of AI,Policy paper,https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Resource-for-Organisation/AI/Discussion-Paper-on-AI-and-PD---050618.pdf,National Authorities,Singapore,No,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Traffic law amended with definition of an autonomous vehicle.,Binding instrument,http://prawo.sejm.gov.pl/isap.nsf/download.xsp/WDU20180000317/T/D20180317L.pdf,National Authorities,Poland,Yes,2018,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Privacy Commissioner for Personal Data (Hong Kong),Annual Reports,Report/Study,https://www.pcpd.org.hk/english/resources_centre/publications/annual_report/annualreport2018.html,National Authorities,Hong Kong,No,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates Government,UAE Strategy for AI,Policy paper,https://u.ae/en/about-the-uae/strategies-initiatives-and-awards/federal-governments-strategies-and-plans/uae-strategy-for-artificial-intelligence,National Authorities,United Arab Emirates,No,2020,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smart Dubai (UAE - United Arab Emirates),Artificial Intelligence Ethics and Principles and Toolkit for Self-assessment,Principles/Guidelines/Charters,https://www.smartdubai.ae/docs/default-source/ai-principles-resources/ai-ethics.pdf?sfvrsn=d4184f8d_6,National Authorities,United Arab Emirates,No,2019,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Spanish Agency for Data Protection (AEPD - Spain),Statute book of good practices in data protection for Big Data - Código de buenas prácticas en protección de datos para proyectos de Big Data,Non binding instrument,https://www.aepd.es/media/guias/guia-codigo-de-buenas-practicas-proyectos-de-big-data.pdf,National Authorities,Spain,Yes,2017,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Government of Catalonia (Spain), AI Strategy of Catalonia,Policy paper,http://politiquesdigitals.gencat.cat/web/.content/Telecomunicacions/catalonia-ai/Estrategia_IA_Catalunya_VFinal_CAT.pdf,National Authorities,Spain,Yes,2020,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden’s innovation agency (Vinnova),Artificial intelligence in Swedish business and society,Policy paper,https://www.vinnova.se/publikationer/artificial-intelligence-in-swedish-business-and-society2/,National Authorities,Sweden,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The German Ethics Council,Big Data and Health - Data sovereignty as informational freedom design - Big Data und Gesundheit – Datensouveränität als informationelle Freiheitsgestaltung,Policy paper,http://www.ethikrat.org/dateien/pdf/stellungnahme-big-data-und-gesundheit.pdf,National Authorities,Germany,Yes,2017,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Government of the Grand Duchy of Luxembourg,Artificial Intelligence: a strategic vision for Luxembourg,Policy paper,https://digital-luxembourg.public.lu/sites/default/files/2019-05/AI_EN_1.pdf,National Authorities,Luxembourg,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Netherlands Scientific Council for Government Policy,"Big Data and Security Policies: Serving Security, Protecting Freedom",Policy paper,https://english.wrr.nl/binaries/wrr-eng/documents/policy-briefs/2017/01/31/big-data-and-security-policies-serving-security-protecting-freedom/WRR_PB6_BigDataAndSecurityPolicies.pdf,National Authorities,Netherlands,Yes,2017,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Norwegian Data Protection Authority,Artificial Intelligence and Privacy,Report/Study,https://www.datatilsynet.no/globalassets/global/english/ai-and-privacy.pdf,National Authorities,Norway,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Local Government and Modernisation (Norway),AI National Strategy,Policy paper,https://www.regjeringen.no/en/dokumenter/nasjonal-strategi-for-kunstig-intelligens/id2685594/,National Authorities,Norway,Yes,2020,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education, Science and Technological Development (Serbia)",Strategy for the Development of AI in the Republic of Serbia for the period of 2020-2025,Policy paper,https://www.srbija.gov.rs/tekst/en/149169,National Authorities,Serbia,Yes,2020,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Industrial Revolution Consulting Group (Luxembourg),The 3rd Insdustrial Revolution Strategy Study,Report/Study,http://www.troisiemerevolutionindustrielle.lu/wp-content/uploads/2016/11/TIR-CG_Luxembourg-Final-Report_Long-Version.pdf,National Authorities,Luxembourg,Yes,2016,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNO (Netherlands),Policy brief on Discrimination at Recruitment and Selection,Policy paper,http://publications.tno.nl/publication/34627249/puJbur/TNO-2018-R11086.pdf,National Authorities,Netherlands,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Digital Transformation (Ukraine),AI Strategy of Ukraine,Policy paper,https://thedigital.gov.ua/news/mikhaylo-fedorov-rozvivayuchi-sferu-shtuchnogo-intelektu-mi-zabezpechuemo-konkurentospromozhnist-ukraini-na-mizhnarodnomu-rinku?fbclid=IwAR0HilGr0J-yptpdAO1J6EhmFv50LcsloiwjJba--inpyawI-mnpQToWK68,National Authorities,Ukraine,Yes,2020,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR,Pan-Canadian Artificial Intelligence Strategy,Policy paper,https://www.cifar.ca/ai/pan-canadian-artificial-intelligence-strategy,Multistakeholder,Canada,No,2017,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treasury Board (Canada),Directive on Automated Decision-Making,Binding instrument,https://www.tbs-sct.gc.ca/pol/doc-eng.aspx?id=32592,National Authorities,Canada,No,2019,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Treasury Board (Canada),Responsible use of Artificial Intelligence (AI) - Guiding Principles,Policy paper,https://www.canada.ca/en/government/system/digital-government/modern-emerging-technologies/responsible-use-ai.html#toc1,National Authorities,Canada,No,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treasury Board (Canada),Government of Canada Strategic Plan for Information Management and Information Technology 2017-2021,Policy paper,https://www.canada.ca/en/government/system/digital-government/modern-emerging-technologies/strategic-plan-information-management-information-technology.html,National Authorities,Canada,No,2017,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treasury Board (Canada),Algorithmic Impact Assessment (AIA),Policy paper,https://www.canada.ca/en/government/system/digital-government/modern-emerging-technologies/responsible-use-ai/algorithmic-impact-assessment.html,National Authorities,Canada,No,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White House (US),Executive Order on Maintaining American Leadership in Artificial Intelligence,Binding instrument,https://www.whitehouse.gov/presidential-actions/executive-order-maintaining-american-leadership-artificial-intelligence/,National Authorities,United States,No,2019,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
